station_id yyyymmddhh TX01 PP01
C0AC40 2025073005 22.5 0.0
C0AC40 2025073006 22.6 0.0
C0AC40 2025073007 22.9 0.0
C0AC40 2025073008 23.1 0.5
C0AC40 2025073009 23.5 0.0
C0AC40 2025073010 23.8 0.0
C0AC40 2025073011 24.6 0.0
C0AC40 2025073012 25.2 0.0
C0AC40 2025073013 24.9 0.0
C0AC40 2025073014 24.7 0.0
C0AC40 2025073015 27.4 0.0
C0AC40 2025073016 27.1 0.0
C0AC40 2025073017 25.8 0.0
C0AC40 2025073018 25.3 0.0
C0AC40 2025073019 24.7 0.0
C0AC40 2025073020 24.3 0.0
C0AC40 2025073021 24.6 0.0
C0AC40 2025073022 24.3 0.0
C0AC40 2025073023 23.6 0.0
C0AC40 2025073024 23.5 0.0
C0AC60 2025073001 28.7 0.0
C0AC60 2025073002 28.4 0.0
C0AC60 2025073003 27.4 0.0
C0AC60 2025073004 27.4 0.0
C0AC60 2025073005 27.2 0.0
C0AC60 2025073006 27.4 0.0
C0AC60 2025073007 29.6 0.0
C0AC60 2025073008 30.3 0.0
C0AC60 2025073009 31.4 NaN
C0AC60 2025073010 NaN 0.0
C0AC60 2025073011 33.6 0.0
C0AC60 2025073012 NaN 0.0
C0AC60 2025073013 34.6 0.0
C0AC60 2025073014 34.9 0.0
C0AC60 2025073015 35.8 0.0
C0AC60 2025073016 35.0 0.0
C0AC60 2025073017 35.3 0.0
C0AC60 2025073018 34.3 0.0
C0AC60 2025073019 32.7 0.0
C0AC60 2025073020 31.0 0.0
C0AC60 2025073021 30.3 0.0
C0AC60 2025073022 30.1 0.0
C0AC60 2025073023 29.8 0.0
C0AC60 2025073024 30.0 0.0
C0AC70 2025073001 29.1 0.0
C0AC70 2025073002 28.7 0.0
C0AC70 2025073003 28.1 0.0
C0AC70 2025073004 27.7 0.0
C0AC70 2025073005 28.0 0.0
C0AC70 2025073006 27.5 0.0
C0AC70 2025073007 28.9 0.0
C0AC70 2025073008 30.4 0.0
C0AC70 2025073009 31.7 0.0
C0AC70 2025073010 33.6 0.0
C0AC70 2025073011 34.5 0.0
C0AC70 2025073012 34.2 0.0
C0AC70 2025073013 34.4 0.0
C0AC70 2025073014 35.7 0.0
C0AC70 2025073015 35.6 0.0
C0AC70 2025073016 35.3 0.0
C0AC70 2025073017 34.9 0.0
C0AC70 2025073018 34.4 0.0
C0AC70 2025073019 34.1 0.0
C0AC70 2025073020 33.0 0.0
C0AC70 2025073021 32.0 0.0
C0AC70 2025073022 32.0 0.0
C0AC70 2025073023 30.9 0.0
C0AC70 2025073024 31.0 0.0
C0AC80 2025073001 27.1 0.0
C0AC80 2025073002 26.8 0.0
C0AC80 2025073003 26.6 0.0
C0AC80 2025073004 26.3 0.0
C0AC80 2025073005 26.2 0.0
C0AC80 2025073006 26.3 0.0
C0AC80 2025073007 27.9 0.0
C0AC80 2025073008 30.0 0.0
C0AC80 2025073009 31.6 0.0
C0AC80 2025073010 34.2 0.0
C0AC80 2025073011 35.2 0.0
C0AC80 2025073012 34.6 0.0
C0AC80 2025073013 34.9 0.0
C0AC80 2025073014 35.5 0.0
C0AC80 2025073015 35.8 0.0
C0AC80 2025073016 35.2 0.0
C0AC80 2025073017 34.3 0.0
C0AC80 2025073018 33.0 0.0
C0AC80 2025073019 31.5 0.0
C0AC80 2025073020 30.3 0.0
C0AC80 2025073021 30.0 0.0
C0AC80 2025073022 29.4 0.0
C0AC80 2025073023 29.3 0.0
C0AC80 2025073024 29.0 NaN
